engine_id,d,n_points,adf_stat,adf_p,adf_stationary,kpss_stat,kpss_p,kpss_stationary
43,0,191,2.5846820875515615,0.9990721644738113,False,1.6773403454623992,0.01,False
44,0,157,3.241611173113971,1.0,False,1.540365094172298,0.01,False
45,0,255,3.3782613660128535,1.0,False,2.1117568782836087,0.01,False
46,0,213,2.8098941344167554,1.0,False,1.9047918817604188,0.01,False
48,0,214,0.8907612734630024,0.992968566213171,False,1.884721731800295,0.01,False
50,0,212,2.6161055114783065,0.9990779606006714,False,1.6830102047692548,0.01,False
51,0,212,1.8437349622493722,0.9984319255077833,False,1.8446002288438106,0.01,False
52,0,194,3.4337208469130025,1.0,False,1.6708076550769566,0.01,False
54,0,192,3.153324910916683,1.0,False,1.591247918859366,0.01,False
55,0,274,1.0470941461779875,0.9947388110483738,False,2.172500559256464,0.01,False
56,0,136,3.1266212669118714,1.0,False,1.7233918622938251,0.01,False
57,0,146,3.972730754673809,1.0,False,1.455333532535938,0.01,False
58,0,230,2.1606250763566606,0.9988485127964545,False,2.0656633169797773,0.01,False
59,0,171,2.489930865505745,0.9990465315693419,False,1.5842066108417228,0.01,False
60,0,184,4.415925466889821,1.0,False,1.6646262830596128,0.01,False
61,0,179,-0.6609611373498401,0.8566040634040046,False,1.7299525968932752,0.01,False
62,0,173,3.3689564665032603,1.0,False,1.679414329406603,0.01,False
63,0,282,2.6223976212830142,0.9990789626769316,False,2.2715504835241056,0.01,False
67,0,198,1.9155454120086053,0.9985526230743426,False,1.7501573559679118,0.01,False
68,0,361,3.146452436372733,1.0,False,2.671613620465041,0.01,False
69,0,136,3.159951730836493,1.0,False,1.7148434294072952,0.01,False
70,0,207,1.881725718502787,0.9984980449390767,False,1.7440386733771458,0.01,False
71,0,212,2.9707439358278163,1.0,False,1.8959962634309604,0.01,False
72,0,212,1.2013967180229792,0.9959955189615454,False,1.9565629512711924,0.01,False
73,0,165,3.1817921041722714,1.0,False,1.6123654223366277,0.01,False
74,0,228,1.680882913849981,0.9980810371389398,False,2.047066320570375,0.01,False
75,0,209,0.11631282873764981,0.9671573594567052,False,1.8986588107733813,0.01,False
76,0,153,0.24134211579168405,0.9744873227616586,False,1.4404501517240549,0.01,False
78,0,198,2.4482484210558564,0.9990312365333363,False,1.7896448271785579,0.01,False
79,0,184,0.4499454612069781,0.9832696477553561,False,1.5049570003606156,0.01,False
80,0,239,2.37070925646356,0.9989958518819098,False,2.1867333995279736,0.01,False
81,0,213,3.5849154051420227,1.0,False,1.7925350077233857,0.01,False
82,0,292,5.197394395503617,1.0,False,2.338067430501415,0.01,False
83,0,266,2.259825460778572,0.9989282270730881,False,2.0621408684165674,0.01,False
84,0,187,2.686758775230543,0.9990862053318602,False,1.7369954317541407,0.01,False
86,0,177,2.135990750079744,0.9988255691770145,False,1.706232454147196,0.01,False
87,0,212,2.2355082064600134,0.9989104727414784,False,1.8458053126785634,0.01,False
88,0,216,1.8658587177071992,0.9984710686946277,False,1.9270070346694466,0.01,False
89,0,153,2.952540310691855,1.0,False,1.580853230398453,0.01,False
91,0,340,1.5234403477201752,0.9976087042161331,False,2.4441211090033854,0.01,False
92,0,154,2.1164209292765515,0.9988063807097409,False,1.5896089712019774,0.01,False
93,0,257,0.19049190999081972,0.9717232436602882,False,2.1125804239940265,0.01,False
94,0,282,2.2816024042344054,0.9989431983620859,False,2.237908053644639,0.01,False
95,0,335,3.349899292208435,1.0,False,2.5038031322478274,0.01,False
96,0,201,4.090808070698936,1.0,False,1.5333850119699828,0.01,False
97,0,155,2.9292874691779915,1.0,False,1.6212105312831124,0.01,False
98,0,184,3.932021378574707,1.0,False,1.6232092614400853,0.01,False
99,0,199,1.0622383051735271,0.9948811001312792,False,1.809727884197818,0.01,False
0,1,190,-7.673461594712294,1.5712156695531403e-11,True,0.2857479150625554,0.1,True
1,1,285,-9.08294353031875,4.010391757549219e-15,True,0.23926203047859293,0.1,True
2,1,177,-8.291151912923311,4.2582605556205574e-13,True,0.3546301761839238,0.09671113095520525,True
3,1,187,-9.213623295087409,1.8590133908906717e-15,True,0.3070664563470094,0.1,True
4,1,267,-9.776832534256998,6.899013244192134e-17,True,0.3733188976059486,0.08865564758364283,True
5,1,186,-9.070172316911888,4.323583124820285e-15,True,0.33337291482148823,0.1,True
7,1,148,-9.192598002815984,2.103634456782936e-15,True,0.17353792817268315,0.1,True
9,1,220,-10.51106169987762,1.0242296860982082e-18,True,0.25344730904333834,0.1,True
10,1,238,-9.018517428016013,5.8609335311493574e-15,True,0.36647240772804524,0.09160672080687705,True
15,1,207,-9.097286595388429,3.685659113424225e-15,True,0.12667716241502808,0.1,True
16,1,274,-6.918964776739227,1.1596916084960985e-09,True,0.33413700442759947,0.1,True
17,1,193,-8.529555150882802,1.0466492474782975e-13,True,0.3766457182398978,0.08722167317245785,True
18,1,156,-8.678707213713444,4.344769236321347e-14,True,0.13577259914145648,0.1,True
20,1,193,-9.003956275152468,6.385886937642626e-15,True,0.35047065306792163,0.09850402885003377,True
21,1,200,-7.258170373955653,1.709005528729141e-10,True,0.11078586945386605,0.1,True
23,1,145,-6.588496086036487,7.213207764403989e-09,True,0.21636643700231292,0.1,True
24,1,228,-11.135207684376672,3.208097188662529e-20,True,0.18383706392637048,0.1,True
25,1,197,-8.679084395078743,4.335117295264923e-14,True,0.26086303593736304,0.1,True
26,1,154,-8.75106528774699,2.8357428459652732e-14,True,0.25244926677632523,0.1,True
27,1,163,-8.995134660765217,6.726560940183732e-15,True,0.3391232034664335,0.1,True
28,1,161,-11.102089505295167,3.842705634296397e-20,True,0.33554588766290455,0.1,True
29,1,192,-7.14678483287655,3.2173155418833945e-10,True,0.34319306620089346,0.1,True
30,1,232,-9.175139262166194,2.3311045318185302e-15,True,0.27075893178240584,0.1,True
31,1,189,-9.623450173948315,1.6849431890883772e-16,True,0.23137034625889666,0.1,True
32,1,198,-8.20043519568575,7.255389544575694e-13,True,0.5000000000000032,0.04166666666666594,False
33,1,193,-9.721472025660232,9.518540263782151e-17,True,0.0963761166159871,0.1,True
34,1,179,-8.642191085162723,5.388532248874541e-14,True,0.3762682959512778,0.08738435519341474,True
37,1,192,-9.081452460103575,4.045753173350295e-15,True,0.19521281069895607,0.1,True
38,1,126,-9.044471788413832,5.030064033066508e-15,True,0.4999999999999982,0.04166666666666707,False
39,1,186,-9.249418316596175,1.506312692009889e-15,True,0.20609358743245176,0.1,True
40,1,214,-12.241768655047112,9.988169696857414e-23,True,0.3043397704168724,0.1,True
42,1,205,-6.997384986843549,7.472770095745272e-10,True,0.15276271791448115,0.1,True
43,1,190,-8.45932930225292,1.582947723674054e-13,True,0.2859940373040891,0.1,True
44,1,156,-5.429205049352034,2.940221247237354e-06,True,0.31793064999023724,0.1,True
45,1,254,-10.290238087883381,3.585929233142968e-18,True,0.3244836462903586,0.1,True
46,1,212,-5.047375917907998,1.78689153412734e-05,True,0.4140429672394226,0.07110216929335234,True
48,1,213,-8.375079846344152,2.5993344772367424e-13,True,0.3771750389669757,0.08699351768664841,True
50,1,211,-7.4636369888903324,5.273846730000726e-11,True,0.38547617487949654,0.08341544186228597,True
51,1,211,-9.81546060131633,5.5129525605516135e-17,True,0.31335124627017213,0.1,True
52,1,193,-13.748251372615547,1.0624748320624122e-25,True,0.3434203648183449,0.1,True
